Tanggal,Waktu,Pengirim,Pesan
12/17/24,18:55,Zaki,Media omitted
12/17/24,18:56,Ardiyansah Al3x,Zak revisi jenengku Ardiyansah Eka Budi Saputra
12/17/24,18:57,duta,budi kapal lawd
12/17/24,18:57,Zaki,ngrepoti
12/17/24,18:57,Athaya TI,kepanjangen jir
12/17/24,18:57,Ardiyansah Al3x,Juh
12/17/24,18:57,Ardiyansah Al3x,La jare ui ne nggone bayu
12/17/24,18:57,Ardiyansah Al3x,Aku database e manut bayu i
12/17/24,18:57,Ardiyansah Al3x,6283863404275 piye kang
12/17/24,18:57,Zaki,la pie
12/17/24,18:58,Athaya TI,nggone bayu lho mirip nggonku
12/17/24,18:58,duta,Media omitted
12/17/24,18:58,Ardiyansah Al3x,"Mbuh la aku nek database e manut bayu, ngke ngomong jare database mbi ui podo jare 6283863404275"
12/17/24,18:59,duta,ppt ne sing iki ngko ga digabung mbe sing sebelum uas kan?
12/17/24,19:02,Zaki,pie iki
12/17/24,19:02,Ardiyansah Al3x,6283863404275 jedulo kang This message was edited
12/17/24,19:02,Athaya TI,gak
12/17/24,19:02,Athaya TI,iki tok
12/17/24,19:02,Athaya TI,pdf e sg digabung
12/17/24,19:03,Avicena,UI ne gak per halaman to ?
12/17/24,19:04,Ardiyansah Al3x,13135550002 cara agar 6283863404275  fastrespon gimana
12/17/24,19:04,Meta AI,Berikut beberapa tips untuk meningkatkan kemampuan fast response:
12/17/24,19:04,duta,lha Sidone nggo nggone sopo? nek sido nggonku tak ss ke meneh
12/17/24,19:05,Athaya TI,lha yen koe rep metu ss en sek
12/17/24,19:05,Athaya TI,"jaga"""
12/17/24,19:05,Athaya TI,daripada ngko ribet
12/17/24,19:05,Ardiyansah Al3x,Nah ngunu yo kenek
12/17/24,19:06,Athaya TI,ngko tinggal milih
12/17/24,19:06,duta,baiklah
12/17/24,19:09,duta,Media omitted
12/17/24,19:09,duta,Media omitted
12/17/24,19:09,duta,Media omitted
12/17/24,19:09,duta,Media omitted
12/17/24,19:09,duta,Media omitted
12/17/24,19:09,duta,Media omitted
12/17/24,19:14,Zaki,ppt ne le garap sopo jir
12/17/24,19:14,Ardiyansah Al3x,6282139259006
12/17/24,19:16,Athaya TI,opo
12/17/24,19:16,Ardiyansah Al3x,Ki
12/17/24,19:18,Ardiyansah Al3x,Yu golek i wong sak grup ke
12/17/24,19:18,Ardiyansah Al3x,Ssekkk cukur iki aku lagi an
12/17/24,19:23,Athaya TI,13135550002 buatin pantun untuk menolak suruhan orang untuk membuat sesuatu
12/17/24,19:23,Ardiyansah Al3x,Cakep
12/17/24,19:23,Meta AI,Berikut beberapa pilihan pantun untuk menolak suruhan orang:
12/17/24,19:23,Athaya TI,makasih
12/17/24,19:24,Ardiyansah Al3x,Aowkwwokw
12/17/24,19:24,Athaya TI,"Tidak bisa tidak berarti tidak mau,"
12/17/24,19:25,Ardiyansah Al3x,Pantun ra nyambung jir goblok ancen meta ai
12/17/24,19:34,Athaya TI,13135550002 buatin kata kata penyemangat agar semangat membuat tugas kelompok dong
12/17/24,19:35,Meta AI,Berikut kata-kata penyemangat untuk meningkatkan semangat tim dalam mengerjakan tugas kelompok:
12/17/24,19:35,Athaya TI,13135550002 wahhhh terimakasih
12/17/24,19:35,Meta AI,"Senang bisa membantu dan memberikan informasi yang bermanfaat untuk Anda. Jika Anda membutuhkan bantuan lagi, jangan ragu untuk bertanya!"
12/17/24,19:59,Zaki,Media omitted
12/17/24,19:59,Zaki,wes tak gabung
12/17/24,19:59,Zaki,kadung
12/17/24,19:59,Zaki,cek
12/17/24,20:00,Ardiyansah Al3x,La wi enek ss e duta zak
12/17/24,20:00,Ardiyansah Al3x,Tapi manut sih yokan
12/17/24,20:01,Zaki,la pie
12/17/24,20:01,Zaki,diganti siji2 po ?
12/17/24,20:01,Zaki,nek iyo tak gantine
12/17/24,20:02,Ardiyansah Al3x,Manut sih
12/17/24,20:02,Avicena,Tambahi kui gak si zak?
12/17/24,20:03,Avicena,Berarti fix gone duta ki?
12/17/24,20:03,Zaki,yow
12/17/24,20:06,Ardiyansah Al3x,Enek format penamaan file pdf ra?
12/17/24,20:06,Bayu Samudra Ti,ui ne ssane ora perhalaman to?
12/17/24,20:07,Zaki,ora
12/17/24,20:07,Ardiyansah Al3x,Awak dewe kelompok piro sij
12/17/24,20:08,Bayu Samudra Ti,Media omitted
12/17/24,20:10,Zaki,Media omitted
12/17/24,20:13,Bayu Samudra Ti,gone duta renek fitur forume to?
12/17/24,20:13,Ardiyansah Al3x,Nah kui pie?
12/17/24,20:13,Zaki,forum opo to
12/17/24,20:14,Bayu Samudra Ti,hasil analisis e kan menghasilkan forum diskusi
12/17/24,20:14,Zaki,kirim uimu ae kene
12/17/24,20:14,Bayu Samudra Ti,sekkk
12/17/24,20:14,Bayu Samudra Ti,goen ata yo podo
12/17/24,20:14,Bayu Samudra Ti,ta ss ta
12/17/24,20:14,Zaki,ndang
12/17/24,20:14,Athaya TI,kntl
12/17/24,20:14,Athaya TI,lagi gawe ppt
12/17/24,20:15,Bayu Samudra Ti,po wekku?
12/17/24,20:15,Zaki,aku suka gayamu
12/17/24,20:15,Zaki,podo wae penting memenuhi hasil e
12/17/24,20:15,Athaya TI,iku sg bagian arsitektur sistem ono sg typo jak
12/17/24,20:15,Athaya TI,benakno
12/17/24,20:15,Athaya TI,nggonku ws tau tak kirim
12/17/24,20:15,Athaya TI,ehh kae ui ne durung deng
12/17/24,20:16,Zaki,sg bagian opo
12/17/24,20:17,Athaya TI,Media omitted
12/17/24,20:17,Athaya TI,jupuken ng kono yen meh nganggo nggonku
12/17/24,20:17,Zaki,yow
12/17/24,20:18,Athaya TI,ndi yo
12/17/24,20:18,Athaya TI,akeh og mau
12/17/24,20:18,Athaya TI,Kepatuhan: Sistem mematuhi regulasi lokasl seperti UU ITE dan kebijakan 
12/17/24,20:19,Athaya TI,Respons Time: Maksimum 2 detik untuk setiap transaksi atau pengangan 
12/17/24,20:19,Athaya TI,Aksesibilitas: Mendukung Bahasa Indonesia sebagai Bahasa utama dan 
12/17/24,20:19,duta,forum opo to sing bok maksut i?
12/17/24,20:19,Bayu Samudra Ti,Penanganan
12/17/24,20:20,Athaya TI,"Kolaborasi: Mendukung fitur Kerjasama tim, seperti forum diskusi dan "
12/17/24,20:20,Bayu Samudra Ti,Media omitted
12/17/24,20:20,Athaya TI,iku ng database e alek bacut ono forum
12/17/24,20:21,Athaya TI,ng ui mu ga ono
12/17/24,20:21,Bayu Samudra Ti,Media omitted
12/17/24,20:21,Athaya TI,iku sg iso njelasne arsitektur sistem mung koe lho 6283863404275 bahasane asing kabeh
12/17/24,20:21,Bayu Samudra Ti,Sek ngetik sopo jirr
12/17/24,20:22,Bayu Samudra Ti,
12/17/24,20:22,Athaya TI,kontol i
12/17/24,20:22,Athaya TI,aku lho njupuk seko kertasmu
12/17/24,20:22,duta,pie to lek
12/17/24,20:23,Bayu Samudra Ti,Amannn
12/17/24,20:23,Bayu Samudra Ti,
12/17/24,20:23,Avicena,Mending forum e hapus ae
12/17/24,20:23,Bayu Samudra Ti,Tapi analisi mu neng awal hasile iku tek
12/17/24,20:23,Bayu Samudra Ti,Ngrombak kad awal?
12/17/24,20:24,Athaya TI,yen meh nganggo nggone duta dihapus kabeh forum e
12/17/24,20:24,Athaya TI,seko database dll
12/17/24,20:24,Bayu Samudra Ti,Nek meh nganggo forum gari nglebokne ui ne gone atta
12/17/24,20:25,Zaki,Media omitted
12/17/24,20:25,duta,selak wengi
12/17/24,20:26,Zaki,Media omitted
12/17/24,20:26,Ardiyansah Al3x,Ngono yo kenek
12/17/24,20:26,Athaya TI,Media omitted
12/17/24,20:26,Bayu Samudra Ti,Media omitted
12/17/24,20:26,Bayu Samudra Ti,Media omitted
12/17/24,20:26,Zaki,Media omitted
12/17/24,20:27,Athaya TI,13135550002 cara menghilangkan capek dalam 2 menit
12/17/24,20:27,Meta AI,Berikut beberapa cara untuk menghilangkan rasa lelah dalam 2 menit:
12/17/24,20:27,Ardiyansah Al3x,Awokwowkwo udur uduran
12/17/24,20:27,Zaki,Media omitted
12/17/24,20:27,Ardiyansah Al3x,Asu aku yo kenek ngent
12/17/24,20:27,Bayu Samudra Ti,13135550002  kenapa ardiyansah tidak mau mengeluarkan statment?
12/17/24,20:28,Ardiyansah Al3x,13135550002 cara menurunkan emosi dalam 1 detik
12/17/24,20:28,Meta AI,Berikut beberapa cara efektif untuk menurunkan emosi dalam sekejap:
12/17/24,20:28,Meta AI,"Ada beberapa alasan mengapa seseorang seperti Ardiyansah tidak mau mengeluarkan pernyataan, antara lain:"
12/17/24,20:28,Athaya TI,6281337414045 ngko yen ditakoni masalah uml koe lho lek sg iso jelasne
12/17/24,20:28,Athaya TI,"ga melu"" aku"
12/17/24,20:28,Ardiyansah Al3x,UML opo cok
12/17/24,20:29,Zaki,Media omitted
12/17/24,20:29,duta,wes bar iki?
12/17/24,20:29,Zaki,wes
12/17/24,20:29,Zaki,kudune
12/17/24,20:30,Athaya TI,LHA KOE MAU GAWE OPO JIR
12/17/24,20:30,Ardiyansah Al3x,Oiyo
12/17/24,20:30,Athaya TI,ppk
12/17/24,20:30,Athaya TI,referensine kekne kono opo mburi dewe?
12/17/24,20:30,Ardiyansah Al3x,"Database, mbi data flow tok activity ne sena mau"
12/17/24,20:30,Zaki,PANTEK
12/17/24,20:30,Athaya TI,yo kui yen kon jelasne koe
12/17/24,20:31,Zaki,"gausah ga si, kan kon gabungke tok. ora kon nyusun"
12/17/24,20:31,Zaki,wes to iki
12/17/24,20:31,Zaki,nek wes ndang submit
12/17/24,20:32,Zaki,"kabeh submit, ora mung perwakilan soale"
12/17/24,20:32,Ardiyansah Al3x,Hmmm
12/17/24,20:32,Athaya TI,SEK
12/17/24,20:32,Athaya TI,6281336530958 DIEM DIEM TOK JIRRR
12/17/24,20:33,Zaki,Media omitted
12/17/24,20:33,duta,mbokep wi
12/17/24,20:33,Ardiyansah Al3x,Uasu dobrak e cok
12/17/24,20:33,duta,angger tumpuk iki?
12/17/24,20:34,Athaya TI,COKKK
12/17/24,20:34,duta,p
12/17/24,20:34,Athaya TI,ngelebokne activity diagram ng ppt piye jir
12/17/24,20:34,Athaya TI,gede tenan
12/17/24,20:34,Ardiyansah Al3x,6281288360400 inpo ndor
12/17/24,20:34,duta,diperkecil
12/17/24,20:34,Zaki,cilike
12/17/24,20:34,Bayu Samudra Ti,rasah di lebokne
12/17/24,20:35,Bayu Samudra Ti,wkwkwk
12/17/24,20:35,Zaki,iyo
12/17/24,20:35,Ardiyansah Al3x,Kon diet kang
12/17/24,20:35,Athaya TI,Media omitted
12/17/24,20:35,duta,okee angger tumpuk
12/17/24,20:35,Ardiyansah Al3x,Matane po ra picek kon moco iki
12/17/24,20:36,Ardiyansah Al3x,Cok kakek ane
12/17/24,20:36,Avicena,Lah iya juga cok
12/17/24,20:38,Athaya TI,file e mau ndi
12/17/24,20:38,Athaya TI,tak bagi 2
12/17/24,20:38,duta,bener kelompok 1 iki?
12/17/24,20:38,duta,This message was deleted
12/17/24,20:38,Athaya TI,y
12/17/24,20:38,duta,.
12/17/24,20:38,Ardiyansah Al3x,Media omitted
12/17/24,20:38,Athaya TI,file activity diagram e
12/17/24,20:39,Avicena,Media omitted
12/17/24,20:39,Avicena,Media omitted
12/17/24,20:39,Athaya TI,oke
12/17/24,20:39,Ardiyansah Al3x,Media omitted
12/17/24,20:39,duta,Media omitted
12/17/24,20:39,Ardiyansah Al3x,Jir
12/17/24,20:40,duta,Media omitted
12/17/24,20:40,Ardiyansah Al3x,Media omitted
12/17/24,20:41,Athaya TI,Media omitted
12/17/24,20:41,Athaya TI,GAISOO MOCO YWS NGNTD
12/17/24,20:41,Zaki,Media omitted
12/17/24,20:41,Zaki,YOO
12/17/24,20:41,Ardiyansah Al3x,Media omitted
12/17/24,20:43,Athaya TI,penamaan e gen ngene opo ganti?
12/17/24,20:44,duta,gitu aja
12/17/24,20:44,duta,lhoss
12/17/24,20:44,Zaki,ben ngono ae
12/17/24,20:44,Zaki,ra enek formate og
12/17/24,20:44,Zaki,penting pdf
12/17/24,20:44,duta,wes tak tumpuk soal e
12/17/24,20:44,duta,Media omitted
12/17/24,20:44,Zaki,2in
12/17/24,20:44,Athaya TI,losss
12/17/24,20:44,duta,acc
12/17/24,20:45,Ardiyansah Al3x,13135550002 cara agar dosen tidak bertanya saat presentasi no root
12/17/24,20:45,Meta AI,Berikut beberapa tips untuk menghindari pertanyaan dosen saat presentasi:
12/17/24,20:45,Athaya TI,JENENGE DICKY SALAH COK
12/17/24,20:45,<3,13135550002 buatkan resep nasi goreng mawut
12/17/24,20:45,duta,waduhh
12/17/24,20:45,duta,gpp ga sengojo
12/17/24,20:46,Meta AI,Berikut resep Nasi Goreng Mawut yang lezat:
12/17/24,20:46,Ardiyansah Al3x,ancok malah golek resep kakek ane
12/17/24,20:46,Ardiyansah Al3x,woilah
12/17/24,20:47,Zaki,sing nulis diki dewe kae
12/17/24,20:47,<3,Media omitted
12/17/24,20:47,Ardiyansah Al3x,Media omitted
12/17/24,20:49,Athaya TI,kelompok opo iki jir
12/17/24,20:49,Athaya TI,"emosi, golek resep"
12/17/24,20:50,Zaki,1
12/17/24,20:50,Athaya TI,13135550002 rekomendasi lagu yang asik buat joget joget
12/17/24,20:51,Meta AI,Berikut beberapa rekomendasi lagu asik untuk joget:
12/17/24,20:51,Ardiyansah Al3x,Media omitted
12/17/24,20:52,Ardiyansah Al3x,13135550002 rekomendasi lagu alrosta buat tawuran
12/17/24,20:52,Meta AI,Lagu-lagu Al Rosta cocok untuk mendengarkan saat santai atau ingin merasakan nostalgia. Berikut beberapa rekomendasi lagu Al Rosta:
12/17/24,20:52,<3,13135550002 tolong kasih tau alek stop stiker jomok
12/17/24,20:52,Meta AI,"Stiker Alek Stop ""Jomok"" adalah stiker populer di aplikasi pesan instan seperti WhatsApp dan Telegram. Stiker ini menggambarkan ekspresi wajah Alek yang terkenal dengan komediannya."
12/17/24,20:58,Athaya TI,opo sih jirr
12/17/24,20:58,Athaya TI,https:www.canva.comdesignDAGYkodczhwYNlXer-uBBDpuMWjf5xSMwedit?utmcontentDAGYkodczhwutmcampaigndesignshareutmmediumlink2utmsourcesharebutton
12/17/24,20:59,Zaki,akses
12/17/24,21:01,Athaya TI,https:www.canva.comdesignDAGYkodczhwYNlXer-uBBDpuMWjf5xSMwedit?utmcontentDAGYkodczhwutmcampaigndesignshareutmmediumlink2utmsourcesharebutton
12/17/24,21:01,Ardiyansah Al3x,Jing
12/17/24,21:02,Zaki,Media omitted
12/17/24,21:02,Ardiyansah Al3x,Picek ancen
12/17/24,21:02,Ardiyansah Al3x,Kene leh tenanan ngenteni metune yok gatel
12/17/24,21:02,Ardiyansah Al3x,Cok tenan
12/17/24,21:03,<3,Media omitted
12/17/24,21:03,Bayu Samudra Ti,Cohhhh
12/17/24,21:07,Athaya TI,hehe
12/17/24,21:09,Athaya TI,https:www.canva.comdesignDAGZjgXq46AAyZazuSs-LH8KFvdOEnFqAedit?utmcontentDAGZjgXq46Autmcampaigndesignshareutmmediumlink2utmsourcesharebutton
12/17/24,21:11,Zaki,null
12/17/24,21:12,Athaya TI,hayo notif ono love love kui opo
12/17/24,21:13,Zaki,Media omitted
12/17/24,21:16,Athaya TI,13135550002 buatin 50 nama kelompok yang lucu dan ada unsur hitam
12/17/24,21:16,Meta AI,Berikut 50 nama kelompok lucu dengan unsur hitam:
12/17/24,21:24,duta,13135550002 hukum marah marah dalam islam
12/17/24,21:24,Meta AI,"Dalam Islam, marah-marahan dianggap sebagai sifat negatif yang dapat merusak hubungan sosial dan spiritual. Berikut beberapa hukum dan pandangan Islam tentang marah-marahan:"
12/17/24,21:28,Athaya TI,https:www.canva.comdesignDAGZjD19GTMCI1S6uqgsOLe36tVcOslwedit?utmcontentDAGZjD19GTMutmcampaigndesignshareutmmediumlink2utmsourcesharebutton
12/17/24,21:28,Athaya TI,ws wi tenanan
12/17/24,21:29,duta,Media omitted
12/17/24,21:42,Athaya TI,Media omitted
12/17/24,21:48,Avicena,Media omitted
12/17/24,21:50,duta,Media omitted
12/17/24,21:53,Athaya TI,6283863404275 nggonmu omo ui forum ga?
12/17/24,22:06,Bayu Samudra Ti,Omo ki opo
12/17/24,22:06,Bayu Samudra Ti,Ora gawe lah
12/17/24,22:35,Athaya TI,yws gausah
12/18/24,15:44,Ardiyansah Al3x,13135550002 kata kata hari ini
12/18/24,15:44,Meta AI,Berikut kata-kata motivasi untuk hari ini:
12/18/24,15:44,Meta AI,https:www.cermati.comartikelkata-kata-motivasi-hidup-terbaik-untuk-buat-hidup-kamu-lebih-semangat
12/18/24,15:44,Athaya TI,13135550002 redis adalah
12/18/24,15:44,Meta AI,"Redis adalah sistem manajemen basis data NoSQL yang bersifat open-source, yang dirancang untuk menyimpan dan mengelola data dengan cepat dan efisien. Redis adalah singkatan dari ""Remote Dictionary Server""."
12/18/24,15:46,Athaya TI,13135550002 berikan rekomendasi laptop gaming spek dewa
12/18/24,15:46,Meta AI,Berikut beberapa rekomendasi laptop gaming spek dewa:
12/18/24,15:46,Meta AI,https:www.tokopedia.comblogtop-laptop-gaming-terbaik-lpc?utmsourcegoogleutmmediumorganic
12/18/24,17:10,Athaya TI,13135550002 kita habis presentasi nih buatin kata kata dong
12/18/24,17:10,Meta AI,Berikut beberapa kata-kata inspiratif dan motivasi setelah presentasi:
12/27/24,21:14,Zaki,Media omitted
12/27/24,21:15,Avicena,opo wi zak
12/27/24,21:15,Zaki,jadwal uas praktikum
12/27/24,21:15,Athaya TI,juhhh sabtu banget wii
12/27/24,21:29,duta,Media omitted
12/27/24,21:32,duta,Media omitted
12/27/24,21:32,Athaya TI,edit gasih dut namane juga masii draft
12/27/24,21:32,duta,ide bagus
12/27/24,21:33,duta,nde mau ono sing melu zoom e pak bana?
12/27/24,21:34,Athaya TI,takono ng grup ipsd cobo
12/27/24,21:35,duta,matane
12/28/24,11:20,Ardiyansah Al3x,KISI KISI UAS MPPL
12/28/24,11:21,Athaya TI,iku namane kabeh materi
12/28/24,11:22,Ardiyansah Al3x,La wonge omong kui ki
12/28/24,12:15,Zaki,Kisi2 UAS MPPL (materi ke 8-14)
12/28/24,12:15,Zaki,kisi kisi mppl
12/28/24,12:59,Athaya TI,Kisi2 UAS MPPL (materi ke 8-14)
